component_id	start_pos	end_pos	span_bp	n_sites	n_fragments	solver	objective	margin
phase6_comp_39	30403910	30404390	481	3	7	exact	0.000000	0.766667
phase6_comp_40	30404863	30407851	2989	18	163	exact	11.574442	0.5111109999999996
phase6_comp_41	30408985	30409575	591	8	45	exact	0.000000	3.501113
phase6_comp_42	30410618	30411477	860	5	44	exact	0.383333	1.916668
phase6_comp_43	30412805	30414546	1742	11	89	exact	5.254998	1.3161110000000003
phase6_comp_44	30415470	30417098	1629	7	74	exact	4.727779	0.5750000000000002
phase6_comp_45	30417972	30418103	132	2	5	exact	0.000000	3.033335
phase6_comp_46	30419228	30421245	2018	6	94	exact	1.023888	0.766667
phase6_comp_47	30421967	30423940	1974	8	80	exact	5.494442	0.766667
phase6_comp_48	30424836	30425100	265	2	15	exact	2.300000	3.4966660000000003
phase6_comp_49	30459078	30459428	351	3	24	exact	0.664444	3.066668
phase6_comp_50	30460764	30460809	46	2	20	exact	0.000000	15.233338999999999
phase6_comp_51	30462360	30462558	199	2	7	exact	0.000000	4.43389
phase6_comp_52	30464678	30465072	395	3	14	exact	0.000000	6.133336
phase6_comp_53	30466766	30467121	356	2	3	exact	0.000000	2.300001
phase6_comp_54	30468649	30469561	913	4	26	exact	0.523889	0.766667
phase6_comp_55	30482149	30482259	111	2	8	exact	0.000000	6.133336
phase6_comp_56	30483762	30484149	388	2	2	exact	0.000000	1.533334
phase6_comp_57	30484921	30485355	435	2	1	exact	0.000000	0.766667
phase6_comp_58	30489814	30491146	1333	4	11	exact	0.000000	0.613333
phase6_comp_59	30492182	30492457	276	2	4	exact	0.000000	2.900557
phase6_comp_60	30495492	30495681	190	2	4	exact	0.000000	3.066668
phase6_comp_61	30496686	30497032	347	2	4	exact	0.000000	2.266668
phase6_comp_62	30505571	30506081	511	4	18	exact	0.000000	4.200002
phase6_comp_63	30509524	30509532	9	2	13	exact	0.000000	8.766671
phase6_comp_64	30510346	30510502	157	2	2	exact	0.000000	1.533334
phase6_comp_65	30510831	30510849	19	2	14	exact	1.533334	7.2666699999999995
phase6_comp_66	30511549	30512103	555	2	2	exact	0.000000	1.533334
phase6_comp_67	30514224	30516110	1887	5	16	exact	0.000000	0.613333
phase6_comp_68	30516975	30518886	1912	6	19	exact	0.000000	0.766667
phase6_comp_69	30523966	30524247	282	2	3	exact	0.000000	2.300001
phase6_comp_70	30529859	30530403	545	2	1	exact	0.000000	0.345
phase6_comp_71	30531884	30532584	701	3	7	exact	0.000000	0.766667
phase6_comp_72	30534231	30534246	16	2	21	exact	0.000000	15.300006999999999
phase6_comp_73	30537916	30539987	2072	5	10	exact	0.000000	0.366667
phase6_comp_74	30541197	30542178	982	3	7	exact	0.000000	1.900001
phase6_comp_75	30548669	30549025	357	2	7	exact	0.000000	4.344443
phase6_comp_76	30583274	30583290	17	2	21	exact	0.000000	13.995003
phase6_comp_77	30591196	30591636	441	3	20	exact	0.000000	1.133334
phase6_comp_78	30599843	30600763	921	4	25	exact	0.000000	3.066668
phase6_comp_79	30603508	30604139	632	3	10	exact	0.000000	3.066668
phase6_comp_80	30609200	30609436	237	2	3	exact	0.000000	2.300001
phase6_comp_81	30611600	30612175	576	4	39	exact	0.000000	3.066668
phase6_comp_82	30617485	30617486	2	2	27	exact	0.000000	19.740564
phase6_comp_83	30618398	30619268	871	4	14	exact	0.000000	2.300001
phase6_comp_84	30622839	30624093	1255	5	21	exact	0.000000	2.053334
phase6_comp_85	30630584	30630984	401	3	21	exact	0.000000	4.954446
phase6_comp_86	30636481	30637499	1019	6	71	exact	2.926110	1.133334
phase6_comp_87	30638323	30638937	615	4	28	exact	0.319444	2.155557
phase6_comp_88	30642802	30643530	729	3	25	exact	0.000000	0.766667
phase6_comp_89	30644334	30644548	215	2	6	exact	0.000000	4.600002
phase6_comp_90	30648705	30649102	398	5	29	exact	2.389444	3.800002
phase6_comp_91	30652638	30653251	614	8	66	exact	0.983889	6.184445
phase6_comp_92	30654168	30654289	122	2	7	exact	0.000000	4.966669
phase6_comp_93	30657782	30660840	3059	14	81	exact	0.000000	0.498333
phase6_comp_94	30663935	30664757	823	4	9	exact	0.000000	2.300001
phase6_comp_95	30665538	30665973	436	2	3	exact	0.000000	1.900001
phase6_comp_96	30666991	30668989	1999	9	55	exact	0.000000	0.766667
phase6_comp_97	30670087	30670815	729	3	11	exact	0.000000	3.033335
phase6_comp_98	30672323	30672329	7	2	19	exact	0.000000	14.400006
phase6_comp_99	30673056	30673514	459	4	27	exact	0.000000	6.133336
phase6_comp_100	30674720	30674811	92	2	14	exact	0.000000	9.096671
phase6_comp_101	30675841	30676434	594	2	1	exact	0.000000	0.728333
phase6_comp_102	30677714	30678425	712	2	1	exact	0.000000	0.766667
phase6_comp_103	30682633	30682901	269	2	2	exact	0.000000	1.277778
phase6_comp_104	30684459	30684715	257	5	29	exact	0.000000	3.475556
phase6_comp_105	30686332	30686606	275	3	30	exact	0.000000	3.565001
phase6_comp_106	30688320	30689534	1215	5	16	exact	0.000000	1.533334
phase6_comp_107	30691510	30692101	592	2	2	exact	0.000000	1.520556
phase6_comp_108	30695568	30696996	1429	6	23	exact	0.000000	0.549444
phase6_comp_109	30699701	30700217	517	3	7	exact	0.000000	1.533334
phase6_comp_110	30702622	30703350	729	3	10	exact	0.000000	3.066668
phase6_comp_111	30704832	30705275	444	3	20	exact	0.000000	7.2666699999999995
phase6_comp_112	30705785	30706076	292	2	1	exact	0.000000	0.766667
phase6_comp_113	30706927	30707038	112	3	27	exact	0.000000	12.633339
phase6_comp_114	30708852	30708946	95	2	16	exact	0.000000	11.466671999999999
phase6_comp_115	30712149	30712690	542	2	1	exact	0.000000	0.766667
phase6_comp_116	30713716	30716324	2609	7	21	exact	0.766667	1.133334
phase6_comp_117	30718413	30719547	1135	3	4	exact	0.000000	0.766667
phase6_comp_118	30721028	30722589	1562	5	14	exact	0.000000	1.4822229999999998
phase6_comp_119	30723271	30724634	1364	8	64	exact	0.000000	3.033335
phase6_comp_120	30725971	30726720	750	2	1	exact	0.000000	0.766667
phase6_comp_121	30727676	30727753	78	2	14	exact	0.000000	7.883891
phase6_comp_122	30728309	30729065	757	7	70	exact	0.000000	8.433337
phase6_comp_123	30731967	30734935	2969	13	85	exact	0.000000	0.366667
phase6_comp_124	30736841	30737801	961	5	23	exact	0.000000	0.366667
phase6_comp_125	30739318	30740887	1570	6	33	exact	0.000000	0.766667
phase6_comp_126	30742508	30743639	1132	9	55	exact	0.511111	2.300001
phase6_comp_127	30744277	30746665	2389	8	44	exact	0.000000	0.766667
phase6_comp_128	30747285	30750084	2800	11	72	exact	0.000000	0.766667
phase6_comp_129	30750774	30751377	604	4	11	exact	0.000000	2.351111
phase6_comp_130	30752494	30753142	649	5	40	exact	0.000000	4.600002
phase6_comp_131	30754337	30756476	2140	7	25	exact	0.000000	0.664444
phase6_comp_132	30757223	30757303	81	2	14	exact	0.000000	9.933338
phase6_comp_133	30759132	30761442	2311	12	83	exact	0.000000	1.520556
phase6_comp_134	30813697	30814311	615	4	76	exact	2.385555	0.45999999999999996
phase6_comp_135	30815084	30817931	2848	7	64	exact	8.433337	0.46000000000000085
phase6_comp_136	30819731	30820839	1109	4	45	exact	0.766667	0.2811110000000001
phase6_comp_137	30822802	30824216	1415	3	9	exact	0.000000	0.511111
phase6_comp_138	30825755	30826346	592	2	5	exact	1.533334	0.332222
phase6_comp_139	30827789	30827793	5	3	4	exact	0.000000	1.900001
phase6_comp_140	30828917	30829101	185	2	7	exact	1.776111	0.4855560000000001
phase6_comp_141	30829997	30830440	444	2	15	exact	3.475557	2.17222
phase6_comp_142	30833508	30835046	1539	3	4	exact	0.511111	0.281111
phase6_comp_143	30841980	30842069	90	3	33	exact	0.000000	11.337222
phase6_comp_144	30845117	30845480	364	2	3	exact	0.000000	1.495
phase6_comp_145	30846344	30847880	1537	10	68	exact	0.383333	1.133334
phase6_comp_146	30850082	30850104	23	2	169	exact	24.134453	43.339983
phase6_comp_147	30851209	30851308	100	2	42	exact	1.840000	18.276668
phase6_comp_148	30852484	30852838	355	2	1	exact	0.000000	0.766667
phase6_comp_149	30854608	30855069	462	2	5	exact	0.000000	3.667224
phase6_comp_150	30855703	30856183	481	2	2	exact	0.000000	1.495
phase6_comp_151	30858102	30858501	400	3	18	exact	1.073888	2.0311129999999995
phase6_comp_152	30868278	30869062	785	3	8	exact	0.562222	0.9377790000000001
phase6_comp_153	30871322	30871550	229	2	5	exact	0.000000	3.833335
phase6_comp_154	30872824	30873693	870	3	10	exact	1.533334	0.8577759999999999
phase6_comp_155	30874905	30875420	516	3	10	exact	0.766666	2.555556
phase6_comp_156	30876757	30876943	187	2	15	exact	0.766667	6.427777
phase6_comp_157	30877863	30878728	866	2	1	exact	0.000000	0.511111
phase6_comp_158	30882152	30882254	103	3	39	exact	1.865556	13.30945
phase6_comp_159	30884153	30884270	118	2	6	exact	0.000000	4.600002
phase6_comp_160	30886403	30886511	109	2	11	exact	0.000000	8.203336
phase6_comp_161	30889378	30889785	408	2	3	exact	0.000000	2.044445
phase6_comp_162	30893856	30895179	1324	3	5	exact	0.000000	0.766667
phase6_comp_163	30901380	30901467	88	2	13	exact	0.000000	9.800004
phase6_comp_164	30905375	30906550	1176	4	14	exact	0.000000	1.8083339999999999
phase6_comp_165	30907588	30908111	524	4	28	exact	0.000000	3.066668
phase6_comp_166	30910322	30911166	845	4	21	exact	0.000000	2.300001
phase6_comp_167	30911506	30911520	15	2	25	exact	0.000000	20.10334
phase6_comp_168	30912081	30912557	477	2	2	exact	0.000000	1.533334
phase6_comp_169	30913261	30913510	250	3	20	exact	2.031666	2.666668
phase6_comp_170	30914298	30915678	1381	5	27	exact	0.000000	0.366667
phase6_comp_171	30916658	30916854	197	2	6	exact	0.000000	4.600002
phase6_comp_172	30917834	30917877	44	2	21	exact	0.000000	15.13334
phase6_comp_173	30921501	30922039	539	2	2	exact	0.000000	1.533334
phase6_comp_174	30923578	30924379	802	4	21	exact	3.015555	0.81778
phase6_comp_175	30925382	30925821	440	2	4	exact	0.000000	3.066668
phase6_comp_176	30926951	30927552	602	7	76	exact	7.746111	3.327224
phase6_comp_177	30930740	30931302	563	3	13	exact	2.044444	1.022224
phase6_comp_178	30935288	30935513	226	2	13	exact	3.782222	0.81778
phase6_comp_179	30940381	30941294	914	4	58	exact	0.000000	6.900003
phase6_comp_180	30943268	30943877	610	2	1	exact	0.000000	0.766667
phase6_comp_181	30946593	30947049	457	2	3	exact	0.000000	1.631667
phase6_comp_182	30948044	30949479	1436	8	70	exact	0.766667	0.766667
phase6_comp_183	30957523	30958632	1110	5	21	exact	1.000000	1.533334
phase6_comp_184	30959996	30961615	1620	6	28	exact	0.000000	2.300001
phase6_comp_185	30965756	30968595	2840	8	38	exact	0.000000	0.766667
phase6_comp_186	30970133	30970370	238	2	7	exact	0.000000	4.866669
phase6_comp_187	30971904	30972264	361	4	25	exact	0.000000	3.692778
phase6_comp_188	30973511	30974907	1397	4	13	exact	0.000000	0.549444
phase6_comp_189	30975735	30975989	255	4	56	exact	9.082774	6.563891
phase6_comp_190	30976892	30977479	588	7	153	exact	42.836683	5.439444999999999
phase6_comp_191	30980371	30980379	9	2	23	exact	0.383333	10.123330999999999
phase6_comp_192	30981432	30984729	3298	9	42	exact	0.511111	0.36666699999999997
phase6_comp_193	30985817	30987497	1681	13	82	exact	0.000000	1.9422220000000001
phase6_comp_194	30988684	30990253	1570	6	26	exact	0.000000	0.600556
phase6_comp_195	30992936	30993942	1007	5	38	exact	0.000000	0.587778
phase6_comp_196	31000602	31001041	440	4	50	exact	2.312777	3.2072239999999996
phase6_comp_197	31157113	31158979	1867	17	380	exact	31.192227	1.9227820000000015
phase6_comp_198	31161802	31164310	2509	10	49	exact	0.000000	0.766667
phase6_comp_199	31165549	31166953	1405	7	53	exact	0.000000	1.533334
phase6_comp_200	31167447	31170639	3193	19	136	greedy_refine	0.702778	
phase6_comp_201	31178469	31179587	1119	6	49	exact	0.000000	2.300001
phase6_comp_202	31180455	31183678	3224	19	165	greedy_refine	0.766667	
phase6_comp_203	31184544	31191095	6552	32	716	greedy_refine	66.106113	
phase6_comp_204	31191684	31197441	5758	26	107	greedy_refine	0.000000	
phase6_comp_205	31198842	31200400	1559	7	22	exact	0.000000	0.600556
phase6_comp_206	31200869	31201091	223	3	12	exact	0.000000	3.2199999999999998
phase6_comp_207	31202387	31202920	534	4	19	exact	0.000000	0.165
phase6_comp_208	31203761	31204106	346	2	2	exact	0.000000	0.8150000000000001
phase6_comp_209	31204727	31205140	414	5	25	exact	0.000000	3.347778
phase6_comp_210	31206641	31207627	987	6	21	exact	0.000000	0.613333
phase6_comp_211	31208595	31210407	1813	7	21	exact	0.000000	0.345
phase6_comp_212	31209339	31209340	2	2	7	exact	0.000000	3.7922219999999998
phase6_comp_213	31211943	31215116	3174	17	71	exact	0.000000	0.293333
phase6_comp_214	31215606	31215934	329	6	18	exact	0.000000	1.3733330000000001
phase6_comp_215	31216539	31217143	605	7	22	exact	0.000000	1.056667
phase6_comp_216	31218017	31218452	436	5	16	exact	0.000000	1.367222
phase6_comp_217	31218637	31218667	31	6	4	exact	0.000000	1.022222
phase6_comp_218	31222888	31223348	461	2	1	exact	0.000000	0.165
phase6_comp_219	31223849	31224643	795	6	22	exact	1.000000	1.6227770000000001
phase6_comp_220	31225421	31228461	3041	17	142	exact	0.536667	0.766667
phase6_comp_221	31229344	31229693	350	3	25	exact	0.000000	5.366669
phase6_comp_222	31230768	31231068	301	3	10	exact	0.000000	3.033335
phase6_comp_223	31231827	31235418	3592	22	204	greedy_refine	0.766667	
phase6_comp_224	31236615	31236706	92	3	22	exact	0.000000	13.633339
phase6_comp_225	31237254	31239349	2096	8	50	exact	0.000000	0.366667
phase6_comp_226	31239835	31241890	2056	17	2365	exact	316.654440	0.766666999999984
phase6_comp_227	31242770	31243105	336	3	13	exact	0.000000	4.600002
phase6_comp_228	31243956	31244444	489	4	27	exact	0.000000	3.433335
phase6_comp_229	31246565	31247355	791	2	1	exact	0.000000	0.366667
phase6_comp_230	31249025	31250368	1344	4	5	exact	0.000000	0.766667
phase6_comp_231	31252117	31252243	127	2	6	exact	0.000000	4.600002
phase6_comp_232	31255332	31255379	48	2	27	exact	0.000000	20.933342
phase6_comp_233	31258500	31258810	311	2	7	exact	0.000000	5.366669
phase6_comp_234	31259408	31260483	1076	4	21	exact	0.000000	0.366667
phase6_comp_235	31261457	31262783	1327	5	29	exact	0.000000	0.766667
phase6_comp_236	31264825	31265051	227	2	6	exact	0.000000	3.356667
phase6_comp_237	31277413	31277508	96	2	16	exact	0.000000	11.866672
phase6_comp_238	31278917	31279785	869	5	51	exact	0.000000	2.300001
phase6_comp_239	31282419	31282601	183	2	4	exact	0.000000	3.066668
phase6_comp_240	31284391	31284993	603	2	2	exact	0.000000	1.533334
phase6_comp_241	31286965	31287026	62	2	23	exact	0.000000	17.233341
phase6_comp_242	31288687	31289961	1275	4	23	exact	0.766667	0.766667
phase6_comp_243	31293082	31293314	233	2	4	exact	0.000000	3.066668
phase6_comp_244	31294101	31294348	248	2	4	exact	0.000000	2.666668
phase6_comp_245	31296274	31296736	463	2	1	exact	0.000000	0.766667
phase6_comp_246	31301527	31302677	1151	3	2	exact	0.000000	0.766667
phase6_comp_247	31311110	31311420	311	3	29	exact	0.000000	2.300001
phase6_comp_248	31312074	31312478	405	2	4	exact	0.000000	3.066668
phase6_comp_249	31314582	31315161	580	2	1	exact	0.000000	0.766667
phase6_comp_250	31319593	31319707	115	2	8	exact	0.000000	5.333336
phase6_comp_251	31325430	31327636	2207	7	39	exact	0.000000	0.366667
phase6_comp_252	31328234	31328473	240	2	4	exact	0.000000	3.066668
phase6_comp_253	31334016	31334087	72	2	19	exact	0.000000	13.421117
phase6_comp_254	31335910	31336549	640	3	6	exact	0.000000	0.868889
phase6_comp_255	31338296	31338596	301	2	7	exact	0.000000	2.531667
phase6_comp_256	31353900	31354892	993	3	5	exact	0.000000	0.733334
phase6_comp_257	31360212	31360232	21	2	33	exact	0.000000	25.133344
phase6_comp_258	31363733	31364639	907	3	3	exact	0.000000	0.766667
phase6_comp_259	31369643	31369934	292	2	3	exact	0.000000	1.5000010000000001
phase6_comp_260	31379706	31379890	185	2	9	exact	0.000000	6.900003
phase6_comp_261	31383043	31383533	491	2	2	exact	0.000000	1.011111
phase6_comp_262	31388562	31389353	792	2	1	exact	0.000000	0.766667
phase6_comp_263	31393820	31394104	285	2	5	exact	0.000000	3.833335
phase6_comp_264	31397194	31398796	1603	6	37	exact	0.000000	1.533334
phase6_comp_265	31400082	31400395	314	2	2	exact	0.000000	1.533334
phase6_comp_266	31402388	31402632	245	3	28	exact	0.000000	9.566671
phase6_comp_267	31403706	31404448	743	5	41	exact	0.000000	3.833335
phase6_comp_268	31408990	31409245	256	2	8	exact	0.000000	5.7333359999999995
phase6_comp_269	31411182	31412316	1135	3	18	exact	0.000000	0.766667
phase6_comp_270	31413650	31414733	1084	5	22	exact	0.000000	2.666668
phase6_comp_271	31416852	31419056	2205	7	30	exact	0.000000	0.766667
phase6_comp_272	31420766	31421048	283	2	5	exact	0.000000	3.433335
phase6_comp_273	31425231	31425366	136	3	30	exact	0.000000	11.866672
phase6_comp_274	31426331	31428591	2261	23	162	greedy_refine	4.370000	
phase6_comp_275	31429233	31429414	182	2	7	exact	1.533334	2.300001
phase6_comp_276	31430616	31430739	124	2	5	exact	0.000000	3.833335
phase6_comp_277	31431890	31432624	735	3	4	exact	0.000000	0.366667
phase6_comp_278	31438310	31438570	261	4	44	exact	0.000000	7.655558
phase6_comp_279	31440944	31441169	226	2	7	exact	0.000000	5.366669
phase6_comp_280	31444393	31444913	521	2	1	exact	0.000000	0.766667
phase6_comp_281	31445628	31446433	806	3	8	exact	0.000000	2.266668
phase6_comp_282	31447987	31448066	80	2	20	exact	0.000000	15.566673
phase6_comp_283	31448538	31449114	577	5	45	exact	0.000000	4.600002
phase6_comp_284	31449980	31450235	256	2	8	exact	0.000000	5.7333359999999995
phase6_comp_285	31453699	31453983	285	2	8	exact	0.000000	5.333336
phase6_comp_286	31454603	31455288	686	2	1	exact	0.000000	0.766667
phase6_comp_287	31461103	31461340	238	2	6	exact	0.000000	4.200002
phase6_comp_288	31462439	31462604	166	4	26	exact	6.388891	1.533334
phase6_comp_289	31463624	31464437	814	3	5	exact	0.000000	0.766667
phase6_comp_290	31465452	31465998	547	2	1	exact	0.000000	0.766667
phase6_comp_291	31467935	31467945	11	2	32	exact	0.000000	24.766677
phase6_comp_292	31468915	31468921	7	2	25	exact	0.000000	18.600008
phase6_comp_293	31469897	31470649	753	4	47	exact	1.405000	0.33000000000000007
phase6_comp_294	31471535	31472712	1178	4	11	exact	0.000000	0.766667
phase6_comp_295	31485479	31486437	959	3	8	exact	0.766667	1.133334
phase6_comp_296	31562521	31562705	185	2	6	exact	0.000000	4.600002
phase6_comp_297	31636552	31637989	1438	7	49	exact	0.000000	0.766667
phase6_comp_298	31638740	31640354	1615	5	34	exact	0.000000	0.766667
phase6_comp_299	31644649	31644701	53	2	16	exact	0.000000	12.266672
phase6_comp_300	31647499	31647667	169	3	32	exact	0.000000	9.166671
phase6_comp_301	31648754	31649113	360	2	2	exact	0.000000	1.533334
phase6_comp_302	31653934	31654362	429	2	2	exact	0.000000	1.277778
phase6_comp_303	31663121	31663207	87	6	37	exact	17.000004	3.0144470000000005
phase6_comp_304	31666589	31666970	382	2	2	exact	0.000000	1.533334
phase6_comp_305	31668832	31668882	51	2	25	exact	0.000000	19.233341
phase6_comp_306	31670677	31671642	966	6	41	exact	0.000000	3.033335
phase6_comp_307	31675514	31675615	102	2	17	exact	0.000000	12.633339
phase6_comp_308	31677647	31677849	203	2	5	exact	0.000000	3.833335
phase6_comp_309	31681257	31681376	120	2	9	exact	0.000000	6.5000029999999995
phase6_comp_310	31699525	31699790	266	3	21	exact	0.000000	9.200004
phase6_comp_311	31701027	31701236	210	2	3	exact	0.000000	2.300001
phase6_comp_312	31702021	31702389	369	2	3	exact	0.000000	2.300001
phase6_comp_313	31707210	31707550	341	2	5	exact	0.000000	3.833335
phase6_comp_314	31708292	31709330	1039	5	31	exact	0.000000	2.666668
phase6_comp_315	31715145	31715496	352	2	1	exact	0.000000	0.366667
phase6_comp_316	31718172	31719396	1225	3	2	exact	0.000000	0.766667
phase6_comp_317	31723455	31723593	139	2	9	exact	0.000000	6.900003
phase6_comp_318	31726243	31727334	1092	2	1	exact	0.000000	0.33
phase6_comp_319	31730099	31730120	22	2	20	exact	0.000000	14.93334
phase6_comp_320	31735338	31736242	905	2	1	exact	0.000000	0.766667
phase6_comp_321	31737952	31737970	19	3	38	exact	0.000000	25.466677999999998
phase6_comp_322	31742503	31743271	769	4	21	exact	0.000000	0.766667
phase6_comp_323	31744119	31744857	739	4	35	exact	0.000000	1.533334
phase6_comp_324	31745579	31746108	530	4	57	exact	0.000000	1.133334
phase6_comp_325	31748852	31749611	760	3	5	exact	0.000000	0.766667
phase6_comp_326	31759765	31760029	265	2	2	exact	0.000000	1.533334
phase6_comp_327	31762496	31762742	247	2	4	exact	0.000000	3.066668
phase6_comp_328	31763757	31764100	344	3	21	exact	0.000000	8.033337
phase6_comp_329	31766339	31766889	551	2	1	exact	0.000000	0.766667
phase6_comp_330	31775268	31776140	873	4	29	exact	0.000000	1.022222
phase6_comp_331	31779580	31779871	292	2	6	exact	0.000000	4.600002
phase6_comp_332	31789970	31790581	612	3	9	exact	0.000000	3.066668
phase6_comp_333	31793955	31795384	1430	5	18	exact	0.000000	2.300001
phase6_comp_334	31797268	31797754	487	3	14	exact	0.000000	3.433335
phase6_comp_335	31809888	31810044	157	2	6	exact	0.000000	4.200002
phase6_comp_336	31814298	31814699	402	2	2	exact	0.000000	1.533334
phase6_comp_337	31825318	31825666	349	3	25	exact	0.000000	2.666668
phase6_comp_338	31827139	31827662	524	3	14	exact	0.000000	1.533334
phase6_comp_339	31829024	31830115	1092	4	31	exact	0.000000	1.533334
phase6_comp_340	31832760	31833656	897	4	19	exact	0.000000	3.066668
phase6_comp_341	31843267	31844257	991	4	9	exact	0.000000	0.766667
phase6_comp_342	31848232	31848285	54	2	23	exact	0.000000	17.600006999999998
phase6_comp_343	31851317	31851495	179	2	5	exact	0.000000	3.433335
phase6_comp_344	31854179	31854195	17	2	20	exact	0.000000	15.166673
phase6_comp_345	31862429	31863080	652	3	5	exact	0.000000	1.533334
phase6_comp_346	31864041	31865231	1191	6	56	exact	0.000000	0.766667
phase6_comp_347	31880008	31880483	476	2	2	exact	0.000000	1.533334
phase6_comp_348	31885385	31885511	127	2	12	exact	0.000000	8.000004
phase6_comp_349	31887040	31888597	1558	4	8	exact	0.000000	0.766667
phase6_comp_350	31890079	31890413	335	3	16	exact	0.000000	2.300001
phase6_comp_351	31895630	31896000	371	2	6	exact	0.000000	4.600002
phase6_comp_352	31896810	31896833	24	2	27	exact	0.000000	20.533342
phase6_comp_353	31901867	31902059	193	2	11	exact	0.000000	7.233337
phase6_comp_354	31926352	31926935	584	3	37	exact	0.000000	0.766667
phase6_comp_355	31930765	31930913	149	2	6	exact	0.000000	4.200002
phase6_comp_356	31935660	31935979	320	2	3	exact	0.000000	2.300001
phase6_comp_357	31938255	31938711	457	3	15	exact	0.000000	1.533334
phase6_comp_358	31953640	31953891	252	2	4	exact	0.000000	2.666668
phase6_comp_359	31956443	31956593	151	2	5	exact	0.000000	3.833335
phase6_comp_360	31963691	31964541	851	3	4	exact	0.000000	0.766667
phase6_comp_361	31970519	31970744	226	2	3	exact	0.000000	2.300001
phase6_comp_362	31973135	31973221	87	2	16	exact	0.000000	10.666672
phase6_comp_363	31974120	31974214	95	3	32	exact	0.000000	8.915003
phase6_comp_364	31976995	31977295	301	2	3	exact	0.000000	2.300001
phase6_comp_365	32409536	32410222	687	2	2	exact	0.000000	1.533334
phase6_comp_366	32437360	32437732	373	3	24	exact	0.000000	3.833335
phase6_comp_367	32461326	32461892	567	4	27	exact	0.000000	2.300001
phase6_comp_368	32467423	32467989	567	2	1	exact	0.000000	0.766667
phase6_comp_369	32477375	32477687	313	2	4	exact	0.000000	2.666668
phase6_comp_370	32488306	32488556	251	2	3	exact	0.000000	2.300001
phase6_comp_371	32494366	32494483	118	2	6	exact	0.000000	4.600002
phase6_comp_372	32497557	32498054	498	2	2	exact	0.000000	1.533334
phase6_comp_373	32501126	32501306	181	2	8	exact	0.000000	6.133336
phase6_comp_374	32503403	32503432	30	2	25	exact	0.000000	17.566675
phase6_comp_375	32505462	32505750	289	4	40	exact	0.000000	6.100003
phase6_comp_376	32514448	32514506	59	3	28	exact	0.000000	16.666674
phase6_comp_377	32517173	32517220	48	2	17	exact	0.000000	12.866672
phase6_comp_378	32519857	32520305	449	2	4	exact	0.000000	3.066668
phase6_comp_379	32540168	32541007	840	4	17	exact	0.000000	3.433335
